section,dataset,method,variant,init,index_name,k,value,run_id
5.3.1,singlecell,Laplacian Eigenmaps,framework,pca,knn_overlap,15,0.09014404852160726,
5.3.1,singlecell,Laplacian Eigenmaps,framework,pca,rv_final,,0.9501218199729919,
5.3.1,singlecell,Laplacian Eigenmaps,framework,pca,trustworthiness,15,0.8020870147585589,
5.3.1,singlecell,Laplacian Eigenmaps,framework,pca,ari,,0.47443510372740444,
5.3.1,singlecell,Laplacian Eigenmaps,reference,pca,trustworthiness,15,0.82975163698091,
5.3.1,singlecell,Laplacian Eigenmaps,reference,pca,ari,,0.7503038741287572,
5.3.1,mnist,PCA,framework,pca,procrustes,15,5.88869364535701e-07,
5.3.1,mnist,PCA,framework,pca,knn_overlap,15,0.9984666666666667,
5.3.1,mnist,PCA,framework,pca,rv_final,,0.6791595816612244,
5.3.1,mnist,PCA,framework,pca,trustworthiness,15,0.7408082616759399,
5.3.1,mnist,PCA,framework,pca,ari,,0.23144741463995794,
5.3.1,mnist,PCA,reference,pca,trustworthiness,15,0.7409499241274659,
5.3.1,mnist,PCA,reference,pca,ari,,0.23177710727315043,
5.3.1,mnist,Kernel PCA (RBF),framework,pca,procrustes,15,3.219313743237055e-09,
5.3.1,mnist,Kernel PCA (RBF),framework,pca,knn_overlap,15,0.9999000000000001,
5.3.1,mnist,Kernel PCA (RBF),framework,pca,rv_final,,0.6985769867897034,
5.3.1,mnist,Kernel PCA (RBF),framework,pca,trustworthiness,15,0.7299877423705952,
5.3.1,mnist,Kernel PCA (RBF),framework,pca,ari,,0.20866866118420085,
5.3.1,mnist,Kernel PCA (RBF),reference,pca,trustworthiness,15,0.7299621648963075,
5.3.1,mnist,Kernel PCA (RBF),reference,pca,ari,,0.20866866118420085,
5.3.1,mnist,Isomap,framework,pca,procrustes,15,0.004327237604829859,
5.3.1,mnist,Isomap,framework,pca,knn_overlap,15,0.6419333333333332,
5.3.1,mnist,Isomap,framework,pca,rv_final,,0.7199309468269348,
5.3.1,mnist,Isomap,framework,pca,trustworthiness,15,0.7656083291181925,
5.3.1,mnist,Isomap,framework,pca,ari,,0.26651128606555263,
5.3.1,mnist,Isomap,reference,pca,trustworthiness,15,0.7633350193896477,
5.3.1,mnist,Isomap,reference,pca,ari,,0.2720059057986047,
5.3.1,mnist,LLE,framework,pca,procrustes,15,0.028296938974020004,
5.3.1,mnist,LLE,framework,pca,knn_overlap,15,0.8877666666666669,
5.3.1,mnist,LLE,framework,pca,rv_final,,0.9183233380317688,
5.3.1,mnist,LLE,framework,pca,trustworthiness,15,0.7482102512223909,
5.3.1,mnist,LLE,framework,pca,ari,,0.2555078572655466,
5.3.1,mnist,LLE,reference,pca,trustworthiness,15,0.7481177710335525,
5.3.1,mnist,LLE,reference,pca,ari,,0.26196032463231883,
5.3.1,mnist,Diffusion Maps,framework,pca,procrustes,15,0.0011097025848413708,
5.3.1,mnist,Diffusion Maps,framework,pca,knn_overlap,15,0.8513666666666668,
5.3.1,mnist,Diffusion Maps,framework,pca,rv_final,,0.6521508693695068,
5.3.1,mnist,Diffusion Maps,framework,pca,trustworthiness,15,0.7752231495531952,
5.3.1,mnist,Diffusion Maps,framework,pca,ari,,0.2882690035692429,
5.3.1,mnist,Diffusion Maps,reference,pca,trustworthiness,15,0.7759197437194403,
5.3.1,mnist,Diffusion Maps,reference,pca,ari,,0.28692123416042403,
5.3.1,mnist,Laplacian Eigenmaps,framework,pca,procrustes,15,0.0251716262915663,
5.3.1,mnist,Laplacian Eigenmaps,framework,pca,knn_overlap,15,0.34313333333333335,
5.3.1,mnist,Laplacian Eigenmaps,framework,pca,rv_final,,0.5073037147521973,
5.3.1,mnist,Laplacian Eigenmaps,framework,pca,trustworthiness,15,0.7861939133367055,
5.3.1,mnist,Laplacian Eigenmaps,framework,pca,ari,,0.2817434264034008,
5.3.1,mnist,Laplacian Eigenmaps,reference,pca,trustworthiness,15,0.8171346653178216,
5.3.1,mnist,Laplacian Eigenmaps,reference,pca,ari,,0.2861339378858548,
5.3.1,swissroll,PCA,framework,pca,procrustes,15,1.236312305337204e-09,
5.3.1,swissroll,PCA,framework,pca,knn_overlap,15,0.9999,
5.3.1,swissroll,PCA,framework,pca,rv_final,,0.8771896958351135,
5.3.1,swissroll,PCA,framework,pca,trustworthiness,15,0.9586481537683359,
5.3.1,swissroll,PCA,reference,pca,trustworthiness,15,0.9586606137244984,
5.3.1,swissroll,Kernel PCA (RBF),framework,pca,procrustes,15,1.87826525842435e-11,
5.3.1,swissroll,Kernel PCA (RBF),framework,pca,knn_overlap,15,1.0,
5.3.1,swissroll,Kernel PCA (RBF),framework,pca,rv_final,,0.8264512419700623,
5.3.1,swissroll,Kernel PCA (RBF),framework,pca,trustworthiness,15,0.8734477828359467,
5.3.1,swissroll,Kernel PCA (RBF),reference,pca,trustworthiness,15,0.8734477828359467,
5.3.1,swissroll,Isomap,framework,pca,procrustes,15,0.02664060466507446,
5.3.1,swissroll,Isomap,framework,pca,knn_overlap,15,0.6775666666666667,
5.3.1,swissroll,Isomap,framework,pca,rv_final,,0.9988808631896973,
5.3.1,swissroll,Isomap,framework,pca,trustworthiness,15,0.9959369752149722,
5.3.1,swissroll,Isomap,reference,pca,trustworthiness,15,0.9998796324397234,
5.3.1,swissroll,LLE,framework,pca,procrustes,15,0.48850329231180123,
5.3.1,swissroll,LLE,framework,pca,knn_overlap,15,0.1786666666666667,
5.3.1,swissroll,LLE,framework,pca,rv_final,,0.9998667240142822,
5.3.1,swissroll,LLE,framework,pca,trustworthiness,15,0.9423526049570056,
5.3.1,swissroll,LLE,reference,pca,trustworthiness,15,0.9966063227111785,
5.3.1,swissroll,Diffusion Maps,framework,pca,procrustes,15,3.417625972695347e-05,
5.3.1,swissroll,Diffusion Maps,framework,pca,knn_overlap,15,0.9772333333333334,
5.3.1,swissroll,Diffusion Maps,framework,pca,rv_final,,0.310455858707428,
5.3.1,swissroll,Diffusion Maps,framework,pca,trustworthiness,15,0.8793824481537683,
5.3.1,swissroll,Diffusion Maps,reference,pca,trustworthiness,15,0.8792363176530096,
5.3.1,swissroll,Laplacian Eigenmaps,framework,pca,procrustes,15,0.10794499707445238,
5.3.1,swissroll,Laplacian Eigenmaps,framework,pca,knn_overlap,15,0.40413333333333334,
5.3.1,swissroll,Laplacian Eigenmaps,framework,pca,rv_final,,0.983852207660675,
5.3.1,swissroll,Laplacian Eigenmaps,framework,pca,trustworthiness,15,0.8741399258135222,
5.3.1,swissroll,Laplacian Eigenmaps,reference,pca,trustworthiness,15,0.8761578823132693,
5.3.2,singlecell,t-SNE,framework,pca,procrustes,15,0.3560390506684222,
5.3.2,singlecell,t-SNE,framework,pca,knn_overlap,15,0.27033105888299214,
5.3.2,singlecell,t-SNE,framework,pca,rv_final,,0.4460596442222595,
5.3.2,singlecell,t-SNE,framework,pca,trustworthiness,15,0.8650493957268166,
5.3.2,singlecell,t-SNE,framework,pca,ari,,0.30430166741702563,
5.3.2,singlecell,t-SNE,reference,pca,trustworthiness,15,0.8913446896392433,
5.3.2,singlecell,t-SNE,reference,pca,ari,,0.4781761626456532,
5.3.2,singlecell,UMAP,framework,pca,procrustes,15,0.43682087065620434,
5.3.2,singlecell,UMAP,framework,pca,knn_overlap,15,0.13702299722011627,
5.3.2,singlecell,UMAP,framework,pca,rv_final,,0.3745756149291992,
5.3.2,singlecell,UMAP,framework,pca,trustworthiness,15,0.8633586678205625,
5.3.2,singlecell,UMAP,framework,pca,ari,,0.309968600177199,
5.3.2,singlecell,UMAP,reference,pca,trustworthiness,15,0.8610942584987469,
5.3.2,singlecell,UMAP,reference,pca,ari,,0.500449522304312,
5.3.2,mnist,t-SNE,framework,pca,procrustes,15,0.2916485966664561,
5.3.2,mnist,t-SNE,framework,pca,knn_overlap,15,0.5411333333333334,
5.3.2,mnist,t-SNE,framework,pca,rv_final,,0.6226201057434082,
5.3.2,mnist,t-SNE,framework,pca,trustworthiness,15,0.9199482717922779,
5.3.2,mnist,t-SNE,framework,pca,ari,,0.33621428337724807,
5.3.2,mnist,t-SNE,reference,pca,trustworthiness,15,0.9508015848929354,
5.3.2,mnist,t-SNE,reference,pca,ari,,0.5291301796992911,
5.3.2,mnist,UMAP,framework,pca,procrustes,15,0.34280369503504277,
5.3.2,mnist,UMAP,framework,pca,knn_overlap,15,0.45376666666666665,
5.3.2,mnist,UMAP,framework,pca,rv_final,,0.5830078721046448,
5.3.2,mnist,UMAP,framework,pca,trustworthiness,15,0.9352457595683696,
5.3.2,mnist,UMAP,framework,pca,ari,,0.32611398629238025,
5.3.2,mnist,UMAP,reference,pca,trustworthiness,15,0.9416155622997808,
5.3.2,mnist,UMAP,reference,pca,ari,,0.5068977589680822,
5.3.2,swissroll,t-SNE,framework,pca,procrustes,15,0.7682939543769627,
5.3.2,swissroll,t-SNE,framework,pca,knn_overlap,15,0.8809666666666667,
5.3.2,swissroll,t-SNE,framework,pca,rv_final,,0.8581326007843018,
5.3.2,swissroll,t-SNE,framework,pca,trustworthiness,15,0.9976949249704941,
5.3.2,swissroll,t-SNE,reference,pca,trustworthiness,15,0.99951357275333,
5.3.2,swissroll,UMAP,framework,pca,procrustes,15,0.40917210597339876,
5.3.2,swissroll,UMAP,framework,pca,knn_overlap,15,0.7910666666666667,
5.3.2,swissroll,UMAP,framework,pca,rv_final,,0.7767284512519836,
5.3.2,swissroll,UMAP,framework,pca,trustworthiness,15,0.9959557410217501,
5.3.2,swissroll,UMAP,reference,pca,trustworthiness,15,0.9988836115326252,
